"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/8/30/ef883805-212e-456f-9e56-8e7b73e8bde81567109802396-1.jpg",sandals/el-paso/el-paso-men-tan-brown-solid-shoe-style-sandals/10545552/buy,El Paso,Men Solid Shoe-Style Sandals,849
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/6/20/beee0b23-0622-4c70-9356-e6dc0018c1d31592603133092-1.jpg",sandals/florsheim/florsheim-men-brown-solid-suede-comfort-sandals/11983102/buy,Florsheim,Men Suede Comfort Sandals,2277
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11389312/2020/2/25/70b90629-bd0e-45ac-ad59-33207f72032f1582620109158-Arrow-Men-Blue-Comfort-Leather-Sandals-5171582620108146-1.jpg",sandals/arrow/arrow-men-blue--tan-brown-leather-comfort-sandals/11389312/buy,Arrow,Men Comfort Leather Sandals,1799
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/3/17/c6d92ba9-e118-47cf-968d-72df6b3b04771584396880343-1.jpg",heels/aldo/aldo-women-black-solid-heels/11714196/buy,ALDO,Women Solid Heels,4199
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/3/17/a2cac99d-677e-4142-85cb-7c97c160b1e91584396861310-1.jpg",heels/aldo/aldo-women-black-solid-sandals/11714140/buy,ALDO,Sandals,4199
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/2/1/614b3337-829b-404c-b1e3-45fb6a148a481580509407262-1.jpg",sandals/hitz/hitz-men-tan-brown-leather-comfort-sandals/11443502/buy,Hitz,Men Leather Comfort Sandals,1997
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1890953/2017/5/9/11494308310285-Prolific-Men-Sandals-8281494308309981-1.jpg",sandals/prolific/prolific-men-navy-sandals/1890953/buy,Prolific,Men Sandals,719
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/28/d0beedc5-bb6f-433c-8698-54737f90bec11574938613071-1.jpg",sandals/teakwood-leathers/teakwood-leathers-men-brown-comfort-sandals/11087158/buy,Teakwood Leathers,Men Comfort Sandals,999
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2390961/2018/1/11/11515647477264-Hitz-Mens-TAN-Original-Leather-Sandals-9571515647477177-1.jpg",sandals/hitz/hitz-men-tan-comfort-leather-sandals/2390961/buy,Hitz,Men Comfort Sandals,1797
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/7/fe62c991-9555-4417-b704-0e7be5f817461575670530131-1.jpg",sandals/prolific/prolific-men-brown-sandals/11125096/buy,Prolific,Men Sandals,599
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11691560/2020/3/11/2568450d-f374-4c70-bee5-cd4e93eab6b51583927292280JohnKarsunMenTanSandals1.jpg",sandals/john-karsun/john-karsun-men-tan-brown-sandals/11691560/buy,John Karsun,Comfort Sandals,674
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2243704/2019/2/19/be36434e-f451-4d7f-86e0-bc0835f6b8b01550566275973-Red-Chief-Men-Sandals-71550566275050-1.jpg",sandals/red-chief/red-chief-men-brown-sandals/2243704/buy,Red Chief,Men Sandals,1617
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11355652/2020/2/11/72bb8f3c-5115-48ea-acbe-362af1e628511581426253290SandalsArrowMenSandalsArrowMenSandalsArrowMenSandalsUSPoloAs1.jpg",sandals/arrow/arrow-men-black-malcolm-leather-sandals/11355652/buy,Arrow,Men MALCOLM Leather Sandals,2087
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9751897/2019/11/16/95762ab5-5a7b-4d3f-b723-a420da91020c1573887960577-CODE-by-Lifestyle-Women-Sandals-1171573887958952-1.jpg",heels/code-by-lifestyle/code-by-lifestyle-women-black-embellished-heels/9751897/buy,CODE by Lifestyle,Women Heels,849
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2168458/2018/10/3/35581d2a-379a-47c7-8ec3-95a9ce0e0e9b1538566813703-Sir-Corbett-Men-Brown-Shoe-Style-Sandals-3331538566813521-1.jpg",sandals/sir-corbett/sir-corbett-men-tan-brown-shoe-style-sandals/2168458/buy,Sir Corbett,Men Shoe-Style Sandals,809
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/2/15/bdbbf616-0e10-49d3-9df5-112bf9d2adb91581717140317-1.jpg",flats/crocs/crocs-women-orange-solid-isabella-t-strap-flats/11524622/buy,Crocs,Women T-Strap Flats,1871
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9752547/2019/11/16/d3e3b15a-cda0-4567-bb94-1b0ddb7bae4e1573888474810-Melange-by-Lifestyle-Women-Sandals-3581573888472512-1.jpg",flats/melange-by-lifestyle/melange-by-lifestyle-women-gold-toned-embellished-one-toe-flats/9752547/buy,Melange by Lifestyle,Women One Toe Flats,1049
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10132673/2019/7/18/ae6fdb70-8110-426f-995d-61ce5b8160e01563436448582-Crocs-Women-Sandals-5361563436447761-1.jpg",flats/crocs/crocs-women-black-solid-open-toe-flats/10132673/buy,Crocs,Women Open Toe Flats,2471
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10705236/2019/10/14/5b392ad8-93cd-4295-8369-282dbfccda6a1571035252267-KazarMax-Black-Neon-Slipons-Clogs-for-Kids-2101571035251431-1.jpg",sandals/kazarmax/kazarmax-kids-black-clogs/10705236/buy,KazarMax,Kids Clogs,832
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11879758/2020/5/22/f8be311b-7c2a-4cfc-8578-16136fe681461590128627542-Red-Tape-1591590128627018-1.jpg",sports-sandals/red-tape/red-tape-women-black-sports-sandals/11879758/buy,Red Tape,Women Sports Sandals,1258
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10166901/2019/8/6/5f51b595-e444-41ea-a738-1d21ab9907dd1565094881508-US-Polo-Assn-Men-Navy-Blue-Sandals-711565094880218-1.jpg",flip-flops/us-polo-assn/us-polo-assn-men-navy-blue-solid-thong-flip-flops/10166901/buy,U.S. Polo Assn.,Men Solid Thong Flip Flops,1599
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/9/24/3f5fccb7-1bcf-43c3-a6cb-6b9ddbba960a1569277570951-1.jpg",flip-flops/us-polo-assn/us-polo-assn-men-red--black-colourblocked-sliders/10714062/buy,U.S. Polo Assn.,Men Colourblocked Sliders,1649
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8991183/2019/6/6/2b7388db-9781-4a1f-8386-dc803e4b7b8f1559823997053-Mast--Harbour-Men-Black--White-Striped-Thong-Flip-Flops-1271-1.jpg",flip-flops/mast--harbour/mast--harbour-men-black--white-striped-thong-flip-flops/8991183/buy,Mast & Harbour,Men Striped Thong Flip-Flops,899
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/2/27/c0526b4e-9c56-4821-aac6-b330a73aae611582756939115-1.jpg",sandals/red-tape/red-tape-men-coffee-brown-solid-one-toe-comfort-sandals/11598612/buy,Red Tape,Men Solid Comfort Sandals,898
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/5/8/431a483b-8a9f-40ee-bfd3-4ef14183cb4c1557309335920-1.jpg",sports-sandals/clarks/clarks-men-brown-solid-sports-sandals/9491791/buy,Clarks,Men Sports Sandals,2999
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7814071/2018/12/10/03b8b878-df99-4d4b-9189-1be3abac40001544423181487-Carlton-London-Men-Sandals-5491544423180791-1.jpg",sandals/carlton-london/carlton-london-men-coffee-brown-comfort-sandals/7814071/buy,Carlton London,Men Comfort Sandals,997
https://rukminim1.flixcart.com/image/495/594/k7jdg280/sandal/m/h/m/ac1011-9-actfreak-brown-original-imafprc9rsnfrcwp.jpeg?q=50,/actfreak-men-brown-sandals/p/itm71af4fa909cff?pid=SNDFPR3UHACQ9MHM&lid=LSTSNDFPR3UHACQ9MHM0REWON&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=en_hHYyPx6T809Ny0jthK13ewPpas6Nn1pNdx0Ew2cMH3lAVV%2BfpA4zH2gDCuMScFn5CZe3EsYspJMO36Kz8lbXrw%3D%3D&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Actfreak,Men Brown Sandal,449
https://rukminim1.flixcart.com/image/495/594/k0plpjk0/sandal/z/g/h/rc3602-022-8-red-chief-brown-original-imafkfy2vufs4r27.jpeg?q=50,/red-chief-men-brown-sandals/p/itmb21d3af48bcc7?pid=SNDFKDZHCFMBHHJF&lid=LSTSNDFKDZHCFMBHHJFKF50KJ&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=en_hHYyPx6T809Ny0jthK13ewPpas6Nn1pNdx0Ew2cMH3l67M7Q03Frk8pu0QEZzkZOoWaVmhwcs4dFAgU3%2BBtxsw%3D%3D&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Red Chief,Men Brown Sandal,1611
https://rukminim1.flixcart.com/image/495/594/k6i7zww0/sandal/4/n/u/453-9-sparx-blue-original-imafa2rb6h3hrkqq.jpeg?q=50,/sparx-men-blue-sports-sandals/p/itmde63face4ae3e?pid=SNDFZYH3FCW4UMFF&lid=LSTSNDFZYH3FCW4UMFF8GRNLM&marketplace=FLIPKART&srno=s_1_3&otracker=search&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDFZYH3FCW4UMFF.SEARCH&ppt=sp&ppn=sp&ssid=jtapn8zbgg0000001593844127849&qH=3788d7ebf2139cf9,Sparx,Men Blue Sports Sandal,734
https://rukminim1.flixcart.com/image/495/594/kbgu1e80/sandal/7/a/d/brown-drivng-1-9-jokatoo-brown-original-imafsspj92vahenc.jpeg?q=50,/jokatoo-men-brown-flats/p/itm8e537cfbb3894?pid=SNDFSSNZHTYCVAJ4&lid=LSTSNDFSSNZHTYCVAJ4MAGCUY&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDFSSNZHTYCVAJ4.SEARCH&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Jokatoo,Men Brown Flats Sandal,455
https://rukminim1.flixcart.com/image/495/594/k3xcdjk0pkrrdj/sandal/5/j/q/9-ss0119g-sparx-sparx-ss0119gbkgy0009-original-imaf45fnzq5ppky2.jpeg?q=50,/sparx-ss-119-men-black-grey-sandals/p/itmf89cd19ba66f1?pid=SNDF45EF9WGGTHZ9&lid=LSTSNDF45EF9WGGTHZ9W6CSQX&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDF45EF9WGGTHZ9.SEARCH&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Sparx,"Men Black, Grey Sandal",588
https://rukminim1.flixcart.com/image/495/594/k4rcmfk0pkrrdj/sandal/a/v/q/6-brd-217-kliq-13-birde-brd-217-kliq-13-original-imafhgfgama5z96r.jpeg?q=50,/birde-men-multicolor-flats/p/itmd04881c0c6c88?pid=SNDFHGWWZC2AV7HF&lid=LSTSNDFHGWWZC2AV7HFGDBIW8&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDFHGWWZC2AV7HF.SEARCH&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Birde,Men Multicolor Flats Sandal,398
https://rukminim1.flixcart.com/image/495/594/k3xcdjk0pkrrdj/sandal/y/b/p/10-ss0481g-sparx-sparx-ss0481golbk0010-original-imaffdvzpzqnwv29.jpeg?q=50,/sparx-men-olive-black-sandals/p/itm34174c44baf01?pid=SNDFP9HFUXWTTZT9&lid=LSTSNDFP9HFUXWTTZT9IMNRDN&marketplace=FLIPKART&srno=s_1_7&otracker=search&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDFP9HFUXWTTZT9.SEARCH&ppt=sp&ppn=sp&ssid=jtapn8zbgg0000001593844127849&qH=3788d7ebf2139cf9,Sparx,"Men Olive, Black Sandal",756
https://rukminim1.flixcart.com/image/495/594/k6wiefk0/sandal/u/h/h/ss0453g-9-sparx-bluegrey-original-imafp98nwbjs56pk.jpeg?q=50,/sparx-ss-453-men-blue-sandals/p/itmfafyexpdm5guh?pid=SNDES3FYM6ZAHUHH&lid=LSTSNDES3FYM6ZAHUHHNACE8G&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDES3FYM6ZAHUHH.SEARCH&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Sparx,Men Blue Sandal,734
https://rukminim1.flixcart.com/image/495/594/sandal/z/w/4/blue-r-2-sandals-rad-takes-7-original-imaejne5v6j2eqqg.jpeg?q=50,/rod-takes-men-blue-black-sandals/p/itmf3wxthyzye3wn?pid=SNDEKCGZG8STMWXA&lid=LSTSNDEKCGZG8STMWXAZCX0BE&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=0dec9c50-2e9b-482a-ae78-6557add554b5.SNDEKCGZG8STMWXA.SEARCH&ssid=nwoftvwlf40000001593844126880&qH=3788d7ebf2139cf9,Rod Takes,"Men Blue, Black Sandal",379
